ID,realSum,room_type,person_capacity,bedrooms,dist,metro_dist,City,Host_ID
1,194.03,Private room,2,1,5.0,2.5,Amsterdam,4
2,344.25,Private room,4,1,0.5,0.2,Amsterdam,5
3,264.1,Private room,2,1,5.7,3.7,Amsterdam,3
4,433.53,Private room,4,2,0.4,0.4,Amsterdam,5
5,485.55,Private room,2,1,0.5,0.3,Amsterdam,5
6,552.81,Private room,3,2,2.1,1.9,Amsterdam,2
7,215.12,Private room,2,1,1.9,0.7,Amsterdam,3
8,2771.31,Entire home/apt,4,3,1.7,1.5,Amsterdam,3
9,1001.8,Entire home/apt,4,2,3.7,1.2,Amsterdam,3
10,276.52,Private room,2,1,3.1,0.9,Amsterdam,5
11,909.47,Entire home/apt,2,1,1.0,0.9,Amsterdam,4
12,319.64,Private room,2,1,2.2,1.6,Amsterdam,3
13,675.6,Entire home/apt,4,1,2.9,0.6,Amsterdam,5
14,552.81,Entire home/apt,2,1,1.3,1.3,Amsterdam,2
15,209.03,Private room,2,1,7.3,3.7,Amsterdam,4
16,368.85,Private room,2,1,1.0,0.6,Amsterdam,2
17,368.85,Private room,2,1,1.3,0.1,Amsterdam,4
18,337.92,Private room,2,1,1.4,0.5,Amsterdam,5
19,313.55,Private room,2,1,1.3,0.6,Amsterdam,1
20,447.59,Entire home/apt,2,1,1.1,1.1,Amsterdam,4
21,243.25,Private room,2,1,2.9,1.3,Amsterdam,2
22,933.85,Entire home/apt,4,2,1.0,0.4,Amsterdam,5
23,251.92,Private room,2,1,1.2,1.1,Amsterdam,4
24,377.29,Private room,2,1,1.2,1.0,Amsterdam,1
25,245.59,Private room,2,1,4.2,2.7,Amsterdam,1
26,217.7,Private room,2,1,4.2,2.8,Amsterdam,3
27,295.03,Private room,2,1,3.4,0.2,Amsterdam,3
28,295.03,Private room,2,1,4.1,0.8,Amsterdam,2
29,1032.97,Entire home/apt,4,2,2.2,1.4,Amsterdam,4
30,270.43,Private room,4,1,4.9,1.1,Amsterdam,4
31,524.69,Entire home/apt,2,1,1.1,1.1,Amsterdam,3
32,599.68,Entire home/apt,4,3,3.4,0.7,Amsterdam,4
33,516.02,Entire home/apt,4,2,1.1,0.4,Amsterdam,4
34,602.25,Entire home/apt,3,2,3.9,0.7,Amsterdam,1
35,504.07,Entire home/apt,4,2,4.1,1.9,Amsterdam,3
36,1609.92,Entire home/apt,6,3,3.0,1.8,Amsterdam,5
37,310.97,Entire home/apt,2,0,4.1,0.0,Amsterdam,3
38,202.7,Private room,2,1,5.6,3.9,Amsterdam,5
39,796.29,Entire home/apt,4,2,2.9,1.7,Amsterdam,1
40,504.07,Private room,2,1,6.4,4.1,Amsterdam,2
41,319.64,Private room,2,1,0.5,0.3,Amsterdam,4
42,614.44,Private room,4,1,0.5,0.3,Amsterdam,1
43,467.04,Private room,3,1,0.5,0.3,Amsterdam,4
44,716.38,Entire home/apt,5,2,3.7,0.4,Amsterdam,2
